t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,SD
4,,,,,,,0.5,1.6875,0.0625,4,0.0625,0.5,,,,1.52449616
5,,,,,,0.0625,,,,,,,,,,
6,12.1945,5.566,1.6875,1.9125,,,0.5,5.566,0.0625,7.8125,7.8125,20.25,0.5,0.5,0.004,5.995469571
7,,,,,,,,,,,,,,,,
8,16.2,18.944,1.183,7.935,15.75,7.8125,21.504,20.23,0.0625,13.5,34.4,60.306,10.5705,11.154,4,15.03932292
9,,,,,,,,,,,,,,,,
10,41.5125,26.01,38.025,26.3375,94.64,23.328,54.0225,37.6,15.3,32,86.24,81.648,31.1805,16.224,23.104,25.74679853
11,,,,,,,,,,,,,,,,
12,69.984,48.9985,43.2,54.08,47.5875,33.934,21.4375,54.1205,15.75,38.808,104.4,141.5375,30.42,48.4,40.8665,32.22670405
13,,,,,,,,,,,,,,,,
14,51.9115,45.5625,51.772,51.9115,46.464,36.8,109.8,64.061,25.6,57.434,98.784,140.8995,71.656,52.65,26.4,31.75315844
15,,,,,,,,,,,,,,,,
16,101.3375,49.6125,47.2,70.56,62.5,21.4375,145.8925,72.5,65,44.376,75,62.5,50,40,31.752,30.25196116
17,,,,,46.464,21.4375,127.008,68.75,32,66.25,83.106,67.626,46.552,22.5,30.87,31.43742974
18,50,21.4375,0.65,28,60,17.9685,109.554,75,21.4375,80.1625,62.5,60,19.0575,21.6,35.28,29.86488269
19,50,22.62238,0.7865,55.296,75,19.074,115.32,78.75,21.4375,90.75,68.75,40.678,32,22.05,,32.68765208
20,48,17.92,0.5,62.5,77.5,62.5,154.6875,68.75,56.25,126,75,87.5,32,36.1,21.4375,40.49891538
21,126,32,0,75,144,87.5,,,,,75,124.025,32,48,13.5,48.30724172
22,105.875,72,0,81.9315,270,135,177.1875,87.5,115.101,171.5,75,162,38.4,48,4,72.10204855
23,105.875,90,0,193.55,272.8125,220.5,306.397,159.3595,144.55,272,62.5,245,62.5,68.75,4,100.5678196
24,196,122.5,0,256,232.75,153,365,243.36,75.625,288,115.2,343.882,41.6025,89.232,4,117.5516919
25,288,202.5,0,275.684,232.75,178.746,453.75,281.6,147,405,134.54,464.64,75,81.12,13.5,147.8653304
26,313.4495,250,0,324,456.896,334.1165,549.067,348.48,182.4,451.25,196,660,98.3125,90,18.375,192.9432923
27,,,,,600,470.45,648,383.328,183.708,500,256,847,117,126,50,256.3974701
28,278.66,336.14,0,456.192,868.292,674.16,784.08,480.2,213.2325,726,288,907.5,123.008,147.875,50,304.3742852
29,343.19,419.904,0,514.5525,859.625,661.5,952.2,696.2,350,793.5,445.5,,171.5,196,62.5,299.0497754
30,384.75,655.2,0,628.425,1008,936,,912.87,529,906.304,542.626,,186.624,232.73,70.304,344.7001289
31,550,802.75,0,1015.625,,1183,,971.75,547.56,1140.75,552.23,,202.5,320,93.6,409.2160476
32,665.5,980,0,,,,,,655.36,,699.84,,282.449,359.5275,147,329.0687009
33,864,,0,,,,,,819.2,,786.5,,332.1,405,160.704,345.5180148
34,1014,,0,,,,,,911.25,,936,,450,487.35,224,390.1364638
35,,,0,,,,,,819.2,,1333.08,,512.6625,671.2765,291.6,458.9432823
36,,,0,,,,,,1078,,,,,,466.56,540.6201851
37,,,0,,,,,,,,,,523.6875,936,495.72,383.0484274
38,,,0,,,,,,,,,,661.25,,544.5,352.9311489
39,,,0,,,,,,,,,,766.526,,574.75,398.8896475
40,,,0,,,,,,,,,,859.375,,661.25,450.0056423
41,,,0,,,,,,,,,,912.87,,820.3125,502.4624572
42,,,0,,,,,,,,,,971.75,,929.5,549.25