t,1,2,3,4,5,6,7,8,9,SD
4,,,,,,,,8.4,1.68,4.75175757
5,,,,,8.64,1,,,,5.402295808
6,5.29,,1.95,1.8,,,,17.2,5.8,6.308610782
7,,,,,,,,,,
8,7.5,,4.42,2.08,16,16,4,33.55,9,10.30968676
9,,,,,,,,,,
10,11.9,16.8,10.24,26.1,20.7,12.95,9.6,28.6,12.96,6.974858422
11,,,,,,,,,,
12,17.94,23.04,29.16,29.9,31.32,16.34,15.2,47.45,21.16,10.12433948
13,,,,,,,,,,
14,30.74,21.16,24,34.32,60.84,20.25,22.09,74.62,29.64,19.30278355
15,,,,,,,,,,
16,56.94,56.94,35.2,62.04,85.5,25,25,106.56,39.9,27.53500681
17,,,,,97.65,20.24,18.8,126.5,42,48.57129523
18,48.75,64,30,72.6,120,20,20,150,56,44.61970168
19,56,81,30,77,156,22.5,25,156,55.2,51.43778875
20,60,90.9,42,104,,16,30,182,56,53.02049301
21,67.5,99,43.2,101.5,,,35,,,30.74025049
22,70.84,120,44.02,105.56,,16,36.4,,68.6,37.350617
23,77,170.4,49.6,127.5,,16.8,42,,82.32,52.91609765
24,93.5,,55.8,144,,9,39,,110,49.6962943
25,135,,72,144,,12.25,66.5,,110,49.52232241
26,162,,85.5,180,,1,122.4,,112.11,63.62696297
27,,,,,,0.25,141.78,,137.5,80.5053019
28,,,73.32,,,0.25,146.88,,159.6,73.73890578
29,,,92.15,,,0,142.8,,,72.39807203
30,,,105,,,0,208,,,104.0016026
31,,,144,,,0,,,,101.8233765
32,,,144,,,,,,,
33,,,169,,,0,,,,119.501046
34,,,,,,0,,,,
35,,,,,,0,,,,
36,,,,,,0,,,,
37,,,,,,,,,,
38,,,,,,0,,,,
39,,,,,,,,,,
40,,,,,,0,,,,
41,,,,,,0,,,,
42,,,,,,0,,,,
43,,,,,,,,,,
44,,,,,,0,,,,
45,,,,,,0,,,,
46,,,,,,0,,,,
47,,,,,,0,,,,
48,,,,,,0,,,,
49,,,,,,,,,,
50,,,,,,0,,,,
51,,,,,,,,,,
52,,,,,,0,,,,
53,,,,,,,,,,
54,,,,,,0,,,,
55,,,,,,,,,,
56,,,,,,0,,,,
57,,,,,,,,,,
58,,,,,,0,,,,
59,,,,,,0,,,,
60,,,,,,0,,,,
61,,,,,,,,,,
62,,,,,,0,,,,
63,,,,,,,,,,
64,,,,,,0,,,,
65,,,,,,0,,,,
66,,,,,,0,,,,
67,,,,,,0,,,,
68,,,,,,0,,,,
69,,,,,,0,,,,
70,,,,,,0,,,,
71,,,,,,0,,,,
72,,,,,,0,,,,
73,,,,,,0,,,,
74,,,,,,0,,,,
75,,,,,,0,,,,
76,,,,,,0,,,,
77,,,,,,0,,,,
78,,,,,,0,,,,
79,,,,,,0,,,,
80,,,,,,0,,,,
81,,,,,,0,,,,
82,,,,,,0,,,,
83,,,,,,,,,,
84,,,,,,0,,,,
85,,,,,,,,,,
86,,,,,,0,,,,