t,1,2,3,4,5,6,7,8,SD
4,,0.0625,0.0625,0.0625,0.0625,,,,0
5,,,,,,,,,
6,,0.0625,14.4,15.75,1.5,0.0625,,,7.996095727
7,,,,,,,,,
8,0.004,0.5,34.4,39.69,35.594,4,,4,18.53983441
9,,,,,,,,,
10,15.75,19.6,57.624,46.464,42.598,18,9,7.8125,18.95244778
11,,,,,,,,,
12,28.0645,72,99.0945,66.25,88.704,28.88,31.74,36.98,28.66611068
13,,,,,,,,,
14,38.72,83.349,176.4,119.07,121,73.696,46.25,58.5225,46.46733975
15,,,,,,,,,
16,162.5345,201.72,450,249.6,288,224,119.79,122.536,107.6839
17,150.336,224,406.125,289.338,358.8575,218.435,192,129.85,97.87539819
18,142.56,291.6,450,356.4,465.75,252.875,206.67,192,119.7528201
19,168.75,295.65,484.5475,310.632,553.536,255.162,,,145.4041156
20,147,324,494.19,364.5,506.25,258.86,402.9395,327.168,118.835367
21,,,574.75,423.2,650,316.84,637.245,397.839,139.1448493
22,168.75,328.05,605,500,660,344.25,1082.016,508.2,276.2429699
23,132.3,247.766,617.1,550,771.75,332.1,,760.5,252.9222295
24,129.85,263.25,595.35,578.8125,865.172,285.77,,1182.816,372.1275475
25,129.6,255.15,665.5,641.52,931.7,183.75,,,323.960113
26,89.78,198.6875,864,665.5,,147,,,348.6807156
27,98,186.984,,864,,96.1,,,370.9176389
28,160,300,,1093.5,,115.32,,,457.6756145
29,140.625,350,,,,147.875,,,118.8451154
30,135,439.04,,,,126.852,,,177.9363458
31,160,504,,,,139.425,,,204.806519
32,202.5,512.435,,,,83.104,,,221.6003221
33,202.5,676,,,,99,,,307.6370968
34,240.1,784,,,,90,,,365.1468244
35,250,862.4,,,,108,,,400.8983911
36,260,985.68,,,,,,,513.133249
37,300,1097.44,,,,126.75,,,517.7137549
38,312.12,,,,,128.8625,,,129.582621
39,318.27,,,,,124.928,,,136.7134393
40,330.75,,,,,109.8,,,156.2352433
41,,,,,,109.8,,,
42,363,,,,,109.8,,,179.039437
43,423.5,,,,,4,,,296.6312947
44,453.75,,,,,4,,,318.0212748
45,510.76,,,,,0.5,,,360.8083062
46,595.36,,,,,32,,,398.3556762
47,677.222,,,,,,,,
48,802.816,,,,,108,,,491.3091053
49,980,,,,,183.75,,,563.0337745
50,,,,,,405,,,
51,,,,,,864,,,
52,,,,,,1176,,,
53,,,,,,,,,